addAplyQlfcCndCn,aplyPrdSeCd,aplyUrlAddr,aplyYmd,bizPrdBgngYmd,bizPrdEndYmd,bizPrdEtcCn,bizPrdSeCd,bscPlanAsmtNo,bscPlanCycl,bscPlanFcsAsmtNo,bscPlanPlcyWayNo,earnCndSeCd,earnEtcCn,earnMaxAmt,earnMinAmt,etcMttrCn,frstRegDt,inqCnt,jobCd,lastMdfcnDt,lclsfNm,mclsfNm,mrgSttsCd,operInstCd,operInstCdNm,operInstPicNm,plcyAplyMthdCn,plcyAprvSttsCd,plcyExplnCn,plcyKywdNm,plcyMajorCd,plcyNm,plcyNo,plcyPvsnMthdCd,plcySprtCn,ptcpPrpTrgtCn,pvsnInstGroupCd,refUrlAddr1,refUrlAddr2,rgtrHghrkInstCd,rgtrHghrkInstCdNm,rgtrInstCd,rgtrInstCdNm,rgtrUpInstCd,rgtrUpInstCdNm,sbizCd,sbmsnDcmntCn,schoolCd,sprtArvlSeqYn,sprtSclCnt,sprtSclLmtYn,sprtTrgtAgeLmtYn,sprtTrgtMaxAge,sprtTrgtMinAge,sprvsnInstCd,sprvsnInstCdNm,sprvsnInstPicNm,srngMthdCn,zipCd
"아동복지시설, 가정위탁, 청소년복지시설에서 퇴소한 지 5년 이내인 사람",0057001,https://apply.gh.or.kr,20250228 ~ 20251231,20250228,20251231,,0056001,034,1,014,004,0043003,"각 공공임대주택 입주자 모집 공고에 따른 소득 기준에 따라 상이, ",0,0,,2025-12-31 09:46:59,5,0013010,2025-12-31 14:47:06,복지문화,취약계층 및 금융지원,0055003,       ,,,경기주택도시공사 입주자 모집 공고 > 입주자 선정 > 주거비 지원 신청(GH),0044002,자립준비청년의 주거 안정 도모와 주거 불안 해소를 위한 주거비(임대보증금) 지원 사업,주거지원,0011009,자립준비청년 주거비 지원사업,20251231005400212061,0042006,자립준비청년이 경기주택도시공사 공공임대주택에 입주하는 경우 표준임대보증금 전액 지원,,0054002,https://www.gh.or.kr,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,주거비 지원 신청서,0049010,N,118,N,Y,0,0,6410000,경기도,성미주,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://account.ggwf.or.kr,20250801 ~ 20250818,20250801,20250818,,0056001,032,1,013,004,0043003,중위소득 120% 이하,0,0,,2025-12-31 09:44:18,7,0013010,2025-12-31 14:44:04,복지문화,취약계층 및 금융지원,0055003,       ,,,청년노동자통장 홈페이지(https://account.ggwf.or.kr) 온라인접수,0044002,경기도 저소득 청년 노동자의 근로의지를 고취시키고 금융역량을 강화하여 미래를 준비할 자산형성 지원,보조금,0011009,청년 노동자 통장 운영,20251231005400212060,0042006,자산형성 지원 : 매월 10만원 저축 시 2년 만기시 580만원 지원          (480만원 현금과 100만원 지역화폐),,0054002,https://account.ggwf.or.kr,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,"개인정보수집이용 제공동의서, 근로확인서류, 소득재산증빙서류, 주민등록등초본, 가족관계증명서, 가산점증빙서류",0049010,N,0,N,N,39,19,6410000,경기도,조일규,1차 시군심사 후 2차 도 최종확인 후 최종선정자 발표 ,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://www.egbiz.or.kr/index.do,20251001 ~ 20251231,20251001,20251231,,0056001,021,1,009,003,0043001,,0,0,,2025-12-31 09:19:36,2,0013010,2025-12-31 14:37:52,교육,미래역량강화,0055003,       ,,,경기기업비서(https://www.egbiz.or.kr/index.do)를 통해 온라인 신청,0044002,도민을 위한 AI 기초역량 강화 교육,교육지원,0011009,인공지능 리터러시 운영,20251231005400212058,0042002,"AI 활용에 관심있는 도민 대상 AI 기초교육, 찾아가는 AI 시군특강, 도민강사 양성 교육 운영",,0054002,https://www.egbiz.or.kr/index.do,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,신청페이지 온라인 폼 제출,0049010,N,0,Y,N,39,19,6410000,경기도,이찬형,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://www.egbiz.or.kr/index.do,20251001 ~ 20251231,20251001,20251231,,0056001,021,1,009,003,0043001,,0,0,,2025-12-31 09:16:14,1,0013010,2025-12-31 14:36:26,교육,미래역량강화,0055003,       ,,,경기기업비서(https://www.egbiz.or.kr/index.do)를 통해 온라인 신청,0044002,빅테크기업 연계 실무형 AI 전문인력 양성,교육지원,0011009,인공지능 전문인력 양성,20251231005400212057,0042002,도내 미취업청년 대상 AI 빅테크기업 플랫폼 활용 교육 제공,,0054002,https://www.egbiz.or.kr/index.do,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,신청페이지 온라인 폼 제출,0049010,N,19,N,N,39,19,6410000,경기도,이찬행,,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057003,https://ares.chungbuk.go.kr/m/sub.php?menukey=1551&mod=view&no=11efd47a5636cb9ea6f1901b0e43d477,,20250101,20251231,,0056001,005,1,002,001,0043001,,0,0,,2025-12-30 21:42:43,2,0013008,2026-01-01 00:00:00,일자리,창업,0055003,       ,,,"- 모집기간 : 2025. 1. 17.(금) ~ 2. 5.(수) 18:00까지
- 접수방법 : 거주지 시군 농업기술센터 신청·접수
- 모집인원 : 20명
- 모집대상 : 충북도내 거주 만 18세 이상 ~ 만 39세 이하 농업인 또는 영농희망자",0044002,"스마트팜 이론부터, 현장실습까지 단계별 장기 교육으로 스마트팜 청년 전문인력 육성",교육지원,0011009,청년농 창업 스마트팜 인큐베이팅 교육,20251230005400212056,0042002," ㅇ (사업 대상) 만 18세 이상 ~ 만 39세 이하 충북도내 거주자
   - (연령 기준) 만 18세 이상 ~ 만 39세 이하
   - (소득 기준) 해당없음

 ㅇ (사업 내용) 단계별 스마트팜 장기 교육(120시간)
   - (교육인원) 20명, 120시간 교육(6시간 / 20일)
   - (교육장소) 농업기술원 내 첨단 스마트팜 실증센터 등
   - (교육과정) 스마트팜 입문 이론 교육 → 실증센터 온실 체험 → 재배 전 과정 현장실습
   - (교육운영) 상반기(4개월), 하반기(4개월) 기한 내 120시간 교육
      · (이론) 전문 강사 초빙 이론 교육 
      · (체험) 스마트팜 실증센터 온실 체험 
      · (실습) 상·하반기 팀별 작물 재배 전 과정 실습 교육 운영
      · (견학) 스마트팜 선진지 현장견학",,0054002,https://ares.chungbuk.go.kr/m/sub.php?menukey=1551&mod=view&no=11efd47a5636cb9ea6f1901b0e43d477,,       ,,6430000,충청북도,       ,,0014006,"- 필수 제출서류(공통)
· 교육신청서(서식1) 1부.
· 영농계획서(서식2) 1부.
· 주민등록등본 또는 초본 1부.
※ 필수서류 미제출 시 부적격 처리가 될 수 있음
- 추가 제출서류 : 가산점 인정을 위해 제출(해당자)
· 농업경영체 등록확인서 1부.
· 최근 2년(’23~’24년) 스마트농업 교육 수료증 각 1부.
※  가산점 관련 증빙서류 미제출 시 가산점 인정하지 않음",0049010,N,0,N,N,39,18,6430048,충청북도 농업기술원,농업기술원,"- 선발일정 : 모집(1. 17. ~ 2. 5.) → 적격심사(2. 6. ~ 2. 7.) →  서류심사(2. 11. ~ 2. 12.) → 면접심사(2. 14.) → 최종선발(2. 17.)
※ 면접 대상자 및 최종 합격자 개별 연락","43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800"
,0057003,,,20250101,20251231,,0056001,002,1,001,001,0043001,,0,0,,2025-12-30 21:22:45,17,0013003,2026-01-01 00:00:00,일자리,취업,0055003,B553762,(재)충청북도기업진흥원,,"<취업준비생 레벨업 지원>
- 지원규모 : 30,000천원 (분기별 10,000천원, 선착순 마감)
  · [1분기] 2025. 2. 24. ~ 2025. 3. 31. (4월 지급)
  · [2분기] 2025. 4. 1. ~ 2025. 6. 30. (7월 지급)
  · [3분기] 2025. 7. 1. ~ 2025. 9. 30. (10월 지급)
※ 지역별 균등 배분 (청주 : 청주 외 = 6 : 4)
- 접 수 처  : 충북청년희망센터 홈페이지 
- 제출서류 : 지원금 신청서 및 증빙서류, 통장사본, 주민등록 등본, 만족도 설문",0044002,청년층 수요에 부합하는 취업 프로그램 운영을 통해 도내 미취업청년의 원활한 사회진출 지원,"교육지원,장기미취업청년",0011009,2030 맞춤형 사회진출 지원사업,20251230005400212055,0042002," ㅇ (사업 대상) 도내 미취업 청년
   - (연령 기준) 19~39세 
   - (소득 기준) 해당없음
   
 ㅇ (사업 내용)
   - (취업준비생 레벨업 지원) 자격증 취득, 강의, 서적 구입 등 직무 역량 강화 비용 지원
   - (기업초청 토크콘서트) 기업 인사담당자 초청 채용 프로세스 소개 등 취업 노하우 지원",,0054002,https://www.chungbuk.go.kr/young/contents.do?key=4951,https://www.chungbuk.go.kr/young/contents.do?key=4952,       ,,6430000,충청북도,       ,,0014010,,0049010,Y,300,N,N,39,19,6430000,충청북도,인구청년정책담당관,"<취업준비생 레벨업 지원>
- 분기별 접수(3,6,9월) → 지원·자격요건 검토 →  지원금 지급(4,7,10월) ","43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800"
,0057001,www.kiffa.or.kr,20250101 ~ 20251231,20250101,20251231,,0056001,021,1,009,003,0043001,,0,0,,2025-12-30 20:26:12,1,0013010,2025-12-31 14:34:21,"일자리,교육","취업,미래역량강화",0055003,       ,,,세부사업별 공고 참조,0044002,"해운물류 업계 인력양성, 산업경쟁력 강화",교육지원,0011009,해운물류 인력양성 지원,20251230005400212054,0042002,○ 청년취업 지원 교육(청년취업 해운물류 아카데미) : 해운․물류 이론 및 현장교육,,0054002,www.kiffa.or.kr,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,① 참가 신청서 ② 개인정보 수집·이용·제공 동의서 ③ 주민등록초본 또는 해당 대학교 재학/졸업(예정)증명서(선택),0049010,N,0,Y,Y,0,0,6410000,경기도,홍석진,세부사업별 공고 참조,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://www.atic.ac/frt/main.do,20250101 ~ 20251231,20250101,20251231,,0056001,021,1,009,003,0043001,,0,0,,2025-12-30 20:22:34,2,0013010,2025-12-31 14:23:39,교육,미래역량강화,0055003,       ,,,전파방송통신교육원,0044002,"특성화고 진로직업 교육, 대학 학점연계 교육, 산업체 현장교육 운영",교육지원,0011009,방송영상미디어 청년인력 인재양성,20251230005400212053,0042002,"(진로직업)신기술 미디어 분야 실습, 체험형 실무교육 지원 (학점연계)프로젝트 중심 미디어 실무교육 60h내외 (현장교육)방송미디어 기업 인턴십 지원",,0054002,https://www.atic.ac/frt/main.do,,6410000,경기도,6410000,경기도,0000000,경기도,0014010,,0049010,N,250,N,N,39,15,6410000,경기도,장은실,세부사업별 평가 및 선정,"41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
,0057001,https://css.kanc.re.kr/cgnb02/snb05.do,20250227 ~ 20251231,20250227,20251231,,0056001,021,1,009,003,0043001,,0,0,,2025-12-30 20:18:07,1,0013010,2025-12-31 14:22:59,교육,미래역량강화,0055003,       ,,,한국나노기술원,0044002,도내 특성화고 및 전문대생 첨단 기술 교육 ,교육지원,0011009,나노기술 인력양성 사업,20251230005400212052,0042002,기술교육 수료 후 취업연계 지원,,0054002,https://css.kanc.re.kr/cgnb02/snb05.do,https://css.kanc.re.kr/cssMain.do#,6410000,경기도,6410000,경기도,0000000,경기도,0014010,,"0049002,0049005",N,0,Y,N,23,19,6410000,경기도,이동헌,"1차 서류심사, 2차 면접","41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830"
자세한 사항은 각 대학 산학협력단 문의,0057003,,,20250301,20260228,,0056001,028,1,011,003,0043001,,0,0,"신청자격, 신청방법 등 세부적인 사항은 각 대학 산학협력단 문의
 - 동신대학교, 목포대학교, 목포가톨릭대학교, 목포과학대학교, 목포해양대학교, 순천대학교, 순천제일대학교, 전남도립대학교, 청압대학교",2025-12-30 18:13:03,1,0013010,2026-01-01 00:00:00,교육,미래역량강화,0055003,       ,,,,0044002,산업 맞춤형 과정을 개설하여 대학 재학생이 기업이 원하는 직무능력 교육 후 재학 중 지역기업에 취업 연계 ,교육지원,0011009,산학협력 취업패키지 과정 운영 지원,20251230005400212051,0042013,"산업맞춤형 직무능력 교육 및 취업 연계 지원
    - (취업지원) 인성교육, 취업캠프, 캡스톤, 모의면접 실시 등 취업역량 강화
    - (교육과정) 산업현장 수요조사(인력, 학과편제 등) 실시, 현장중심 및 주문식 교육과정 편성‧운영(정규학점 또는 비학점교육)",,0054002,https://iacf.dsu.ac.kr/iacf/,https://iacf.mokpo.ac.kr/iacftmp/index.do,6460000,전라남도,6460000,전라남도,0000000,전라남도,0014010,,"0049005,0049006",N,0,Y,Y,0,0,6460000,전라남도,,,"46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910"
